"idCuenta","NumCatCont","Cuenta","idTCuenta","inPPTO","inCCH"
"a7ef4e56","601-011","AGUA","EGRESO","TRUE","TRUE"
"8716a89e","602-006","AGUINALDO","EGRESO","TRUE","FALSE"
"5886ac6d","000-001","AHORRO","EGRESO","FALSE","FALSE"
"290dd805","603-002","ALIMENTOS","EGRESO","TRUE","TRUE"
"d676a052","601-007","ART LIMPIEZA","EGRESO","TRUE","TRUE"
"9a6d81b0","607-002","CAJACHICA","INGRESO","TRUE","TRUE"
"6d8bc490","601-046","CAPACITACION","EGRESO","TRUE","FALSE"
"83a3825b","608-000","CAPITAL","EGRESO","TRUE","FALSE"
"89d02e92","603-004","CARRETERAS","EGRESO","TRUE","FALSE"
"077f600d","601-006","CELULAR","EGRESO","TRUE","TRUE"
"23e9927e","501-600","COMBUST FAB","EGRESO","TRUE","TRUE"
"4fc20fc9","601-008","COMBUST VEH","EGRESO","TRUE","TRUE"
"0dbb96f3","605-001","COMISIONES","EGRESO","TRUE","FALSE"
"d53bb6be","605-006","CREDITOS","EGRESO","TRUE","FALSE"
"e6a13649","601-034","CRM COMPUTO","EGRESO","TRUE","TRUE"
"f1f3c444","601-031","CRM MAQUINARIA","EGRESO","TRUE","TRUE"
"0ca80c68","601-030","CRM OFICINA","EGRESO","TRUE","TRUE"
"7ae33e61","601-035","CRM VEHICULOS","EGRESO","TRUE","TRUE"
"4bd2e41e","602-014","DESPENSA","EGRESO","TRUE","FALSE"
"817c3fc4","601-004","ELECTRICIDAD","EGRESO","TRUE","FALSE"
"e80779ab","501-400","FLETES","EGRESO","TRUE","TRUE"
"02f36fb2","607-001","GASTOS VARIOS","EGRESO","TRUE","TRUE"
"7a3a89ed","601-032","GIF","EGRESO","TRUE","FALSE"
"2396b324","601-005","HONORARIOS","EGRESO","TRUE","FALSE"
"0fe4cfad","603-001","HOSPEDAJE","EGRESO","TRUE","FALSE"
"3b8af159","601-015","IMP ESTATALES","EGRESO","TRUE","FALSE"
"f9312c43","601-010","IMP FEDERALES","EGRESO","TRUE","FALSE"
"b1c141c9","602-010","IMSS","EGRESO","TRUE","FALSE"
"8e77fb64","602-012","INFONAVIT","EGRESO","TRUE","FALSE"
"7ba5c928","605-004","INTERESES","EGRESO","TRUE","FALSE"
"ba8b2f8a","608-010","INVERSIONES","EGRESO","TRUE","FALSE"
"e70910bd","602-013","ISN","EGRESO","TRUE","FALSE"
"e70910bc","602-015","LIQUIDACIONES","EGRESO","TRUE","FALSE"
"9f867e03","800-000","MATERIA PRIMA","EGRESO","FALSE","TRUE"
"3bb7ee3b","601-036","MEMBRESIAS","EGRESO","TRUE","FALSE"
"0dd11375","501-301","MOLDES","EGRESO","TRUE","TRUE"
"42b6622e","602-002","PRIMA VAC","EGRESO","TRUE","FALSE"
"8cfa9572","602-007","PTU","EGRESO","TRUE","FALSE"
"4a2499c8","601-009","RECOL BASURA","EGRESO","TRUE","FALSE"
"4a2499c7","608-020","RENTAS","INGRESO","TRUE","FALSE"
"1b4b63ae","601-047","SEG VIGILA","EGRESO","TRUE","FALSE"
"c7d4f9ed","601-039","SEGUROS","EGRESO","TRUE","FALSE"
"f7a1cdd0","501-300","SOFTWARE","EGRESO","TRUE","FALSE"
"b031ca70","602-001","SUELDOS","EGRESO","TRUE","TRUE"
"811b62b6","601-003","TEL INET","EGRESO","TRUE","FALSE"
"dedb3002","603-003","TRANSPORTE","EGRESO","TRUE","TRUE"
"2415ede8","000-000","TRASPASOS","INGRESO","FALSE","FALSE"
"7eb7c1e5","601-002","UNIFORMES","EGRESO","TRUE","TRUE"
"7ba2afdf","602-005","VALES","EGRESO","TRUE","FALSE"
"c344ce62","700-000","VENTAS","INGRESO","TRUE","TRUE"
